Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.003111,0.0015208,0.10627,0,0,0,9.774,0.018047,6.8169E-06,-9.2205E-06,0.05196,1.6151E-05,0.05484,0,0,0,0,0,0,package://RMInfantry_Complation_Vision.SLDASM/meshes/base_link.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://RMInfantry_Complation_Vision.SLDASM/meshes/base_link.STL,,平衡步兵底盘-1/边空位挡板-3;平衡步兵底盘-1/RR-PA-100-20-10-V5-1;平衡步兵底盘-1/RR-PA-100-20-10-V5-2;平衡步兵底盘-1/侧板-2;平衡步兵底盘-1/边空位挡板2-1;平衡步兵底盘-1/边空位挡板2-3;平衡步兵底盘-1/边空位挡板-1;平衡步兵底盘-1/底装板-2;平衡步兵底盘-1/铝方45-30-4;平衡步兵底盘-1/平衡步兵防撞架-1;平衡步兵底盘-1/前反变形板-1;平衡步兵底盘-1/髋关节内板-2;平衡步兵底盘-1/髋关节内板-1;平衡步兵底盘-1/RR-PA-100-20-10-V5-4;平衡步兵底盘-1/RR-PA-100-20-10-V5-3;平衡步兵底盘-1/铝方45-30-2;平衡步兵底盘-1/铝方45-30-3;平衡步兵底盘-1/包塑轴承轮安装板内打印件-1;平衡步兵底盘-1/包塑轴承轮安装板-3;平衡步兵底盘-1/包塑轴承轮安装板-8;平衡步兵底盘-1/包塑轴承轮30-12-10-6pom-1;平衡步兵底盘-1/包塑轴承轮30-12-10-6pom-4;平衡步兵底盘-1/包塑轴承轮安装板-2;平衡步兵底盘-1/包塑轴承轮安装板-4;平衡步兵底盘-1/边空位挡板-4;平衡步兵底盘-1/前反变形板-2;平衡步兵底盘-1/装甲板和C板固定板--1;平衡步兵底盘-1/哨兵机器人-标准件-小装甲-1;平衡步兵底盘-1/上层车架板-2;平衡步兵底盘-1/底装板-1;平衡步兵底盘-1/铝方45-30-1;平衡步兵底盘-1/50-20铝方-2;平衡步兵底盘-1/50-20铝方-1;平衡步兵底盘-1/底盘底板-1;平衡步兵底盘-1/中心供弹小-1/中心供弹测试弹舱_中心供弹小-1;平衡步兵底盘-1/中心供弹小-1/试验底部碳板_中心供弹小-1;平衡步兵底盘-1/HI14_M12_Straight(直头)-1;平衡步兵底盘-1/RM2019裁判系统支撑架AH02-2;平衡步兵底盘-1/RM2019裁判系统支撑架AH02-5;平衡步兵底盘-1/低保护板-1;平衡步兵底盘-1/关节电机轴承垫片-2;平衡步兵底盘-1/关节电机轴承垫片-3;平衡步兵底盘-1/侧板上盖板-1;平衡步兵底盘-1/轴承板--1;平衡步兵底盘-1/薄壁扩外环--1;平衡步兵底盘-1/薄壁轴承--1;平衡步兵底盘-1/薄壁扩内环--1;平衡步兵底盘-1/yaw电机固定板--1;平衡步兵底盘-1/TB47D电池-1;平衡步兵底盘-1/打印件2_灯条支架垫片L--1;平衡步兵底盘-1/RM2019裁判系统灯条模块LI01-1;平衡步兵底盘-1/RoboMaster 电池架-无开关-1;平衡步兵底盘-1/板材_电池垫垫垫2--1;平衡步兵底盘-1/板材_电池垫垫垫3--1;平衡步兵底盘-1/打印件_灯条支架垫片L--1;平衡步兵底盘-1/侧板上盖板-2;平衡步兵底盘-1/包塑轴承轮安装板-5;平衡步兵底盘-1/包塑轴承轮30-12-10-6pom-2;平衡步兵底盘-1/包塑轴承轮安装板-6;平衡步兵底盘-1/包塑轴承轮安装板-1;平衡步兵底盘-1/包塑轴承轮30-12-10-6pom-3;平衡步兵底盘-1/包塑轴承轮安装板-7;平衡步兵底盘-1/装甲板和电源管理模块固定板--1;平衡步兵底盘-1/哨兵机器人-标准件-小装甲-2;平衡步兵底盘-1/RM2019裁判系统支撑架AH02-8;平衡步兵底盘-1/RM2019裁判系统支撑架AH02-4;平衡步兵底盘-1/RoboMaster 电源模块 PM02 2020 STEP-1;平衡步兵底盘-1/上层车架板-1;平衡步兵底盘-1/边空位挡板2-2;平衡步兵底盘-1/RM2019裁判系统主控模块MC02-1;平衡步兵底盘-1/前防护板-1;平衡步兵底盘-1/边空位挡板-2;平衡步兵底盘-1/边空位挡板2-4;平衡步兵底盘-1/GM6020电机-1;平衡步兵底盘-1/中心供弹小-1/M2006直流减速电机_中心供弹小-1;平衡步兵底盘-1/15 15欧标铝--3;平衡步兵底盘-1/15 15欧标铝--2;平衡步兵底盘-1/20x30x30铝方-4;平衡步兵底盘-1/20x30x30铝方-1;平衡步兵底盘-1/内20 12线滑环-1/蓝外环-1;平衡步兵底盘-1/侧板-1;平衡步兵底盘-1/MT2042-S12-导电滑环-1;平衡步兵底盘-1/中心供弹小-1/弹丸管道_中心供小-1;平衡步兵底盘-1/中心供弹小-1/BNUT205内圈-1;平衡步兵底盘-1/关节电机轴承垫片-1;平衡步兵底盘-1/关节电机轴承垫片-4;平衡步兵底盘-1/哨兵机器人-标准件-小装甲-4;平衡步兵底盘-1/RM2019裁判系统支撑架AH02-3;平衡步兵底盘-1/RM2019裁判系统支撑架AH02-7;平衡步兵底盘-1/装甲板边板子-2;平衡步兵底盘-1/装甲板边板子-1;平衡步兵底盘-1/哨兵机器人-标准件-小装甲-3;平衡步兵底盘-1/RM2019裁判系统支撑架AH02-6;平衡步兵底盘-1/RM2019裁判系统支撑架AH02-1;平衡步兵底盘-1/同步带-1;平衡步兵底盘-1/66-1;平衡步兵底盘-1/同步垫块-1;平衡步兵底盘-1/0628同步轮电机盖子--1;平衡步兵底盘-1/打印件_电池架装甲板支架垫--1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_hip_link,0.032281,0.032438,0.011151,0,0,0,0.2528,0.00013252,-5.8425E-19,-0.00014865,0.00064137,3.8933E-18,0.00052206,0,0,0,0,0,0,package://RMInfantry_Complation_Vision.SLDASM/meshes/left_front_hip_link.STL,0.89804,0.91373,0.92549,1,0,0,0,0,0,0,package://RMInfantry_Complation_Vision.SLDASM/meshes/left_front_hip_link.STL,,平衡步兵底盘-1/厚垫块-2;平衡步兵底盘-1/腿上连杆一-1,left_front_hip_joint_frame,left_front_hip_joint_axis,left_front_hip_joint,continuous,0.065,0.1423,0.127,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
left_front_knee_link,-0.089345,0.006,-0.086713,0,0,0,0.21937,0.00085145,-3.8325E-18,-0.00087832,0.0018691,-9.3363E-21,0.0010229,0,0,0,0,0,0,package://RMInfantry_Complation_Vision.SLDASM/meshes/left_front_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://RMInfantry_Complation_Vision.SLDASM/meshes/left_front_knee_link.STL,,平衡步兵底盘-1/腿下连杆一-1,left_front_knee_joint_frame,left_front_knee_joint_axis,left_front_knee_joint,continuous,0.12968,0.0194,0.047199,0,0,0,left_front_hip_link,0,1,0,,,,,,,,,,,,
left_chassis_wheel_site0_link,-4.8229E-15,-0.0185,1.5266E-16,0,0,0,0.0075775,4.2365E-07,-2.0727E-22,2.036E-24,7.6403E-07,-2.9912E-22,4.2365E-07,0,0,0,0,0,0,package://RMInfantry_Complation_Vision.SLDASM/meshes/left_chassis_wheel_site0_link.STL,0.77255,0.75294,0.73333,1,0,0,0,0,0,0,package://RMInfantry_Complation_Vision.SLDASM/meshes/left_chassis_wheel_site0_link.STL,,平衡步兵底盘-1/法兰轴承F6000ZZ-10×26×8-4;平衡步兵底盘-1/法兰轴承F6000ZZ-10×26×8-10,left_chassis_wheel_joint_frame,left_chassis_wheel_joint_axis,left_chassis_wheel_site0_joint,fixed,-0.19468,0.0245,-0.17534,0,0,0,left_front_knee_link,0,0,0,,,,,,,,,,,,
left_rear_hip_link,-0.0369979002010859,0.0309982603546195,0.0127965807004653,0,0,0,0.258169857475487,0.000140702499108914,3.36923885329177E-19,0.000174370684953426,0.000715454259986006,-2.87113325481111E-18,0.00058595009125451,0,0,0,0,0,0,package://RMInfantry_Complation_Vision.SLDASM/meshes/left_rear_hip_link.STL,0.898039215686275,0.913725490196078,0.925490196078431,1,0,0,0,0,0,0,package://RMInfantry_Complation_Vision.SLDASM/meshes/left_rear_hip_link.STL,,平衡步兵底盘-1/薄垫块-2;平衡步兵底盘-1/腿上连杆二-2,left_rear_hip_joint_frame,left_rear_hip_joint_axis,left_rear_hip_joint,continuous,-0.065,0.1423,0.127,0,0,0,base_link,0,1,0,,,,,,,,,,,,
left_rear_knee_link,0.10163,0.02,-0.097327,0,0,0,0.2214,0.00094302,-2.1222E-17,0.00095354,0.0021043,-1.955E-17,0.0011666,0,0,0,0,0,0,package://RMInfantry_Complation_Vision.SLDASM/meshes/left_rear_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://RMInfantry_Complation_Vision.SLDASM/meshes/left_rear_knee_link.STL,,平衡步兵底盘-1/腿下连杆二-2,left_rear_knee_joint_frame,left_rear_knee_joint_axis,left_rear_knee_joint,continuous,-0.12968,0.0309,0.047199,0,0,0,left_rear_hip_link,0,1,0,,,,,,,,,,,,
left_chassis_wheel_link,-5.5954E-06,0.036068,-3.5474E-06,0,0,0,0.52417,0.0006003,3.2833E-08,1.2544E-08,0.0011204,-2.7525E-09,0.0006003,0,0,0,0,0,0,package://RMInfantry_Complation_Vision.SLDASM/meshes/left_chassis_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://RMInfantry_Complation_Vision.SLDASM/meshes/left_chassis_wheel_link.STL,,平衡步兵底盘-1/胶轮定制135mm--1;平衡步兵底盘-1/轮毂版-1;平衡步兵底盘-1/MF9025v2-2;平衡步兵底盘-1/轮毂版-2;平衡步兵底盘-1/轮毂内板-2;平衡步兵底盘-1/轮子填充打印件-1,left_chassis_wheel_joint_frame,left_chassis_wheel_joint_axis,left_chassis_wheel_joint,continuous,0.19468,0.013,-0.17534,0,0,0,left_rear_knee_link,0,-1,0,,,,,,,,,,,,
left_chassis_wheel_site1_link,1.7764E-17,-0.0057767,6.9389E-17,0,0,0,0.0062643,1.0607E-06,3.9868E-23,2.0336E-21,1.6376E-06,-5.0049E-22,1.0607E-06,0,0,0,0,0,0,package://RMInfantry_Complation_Vision.SLDASM/meshes/left_chassis_wheel_site1_link.STL,0.64706,0.61961,0.58431,1,0,0,0,0,0,0,package://RMInfantry_Complation_Vision.SLDASM/meshes/left_chassis_wheel_site1_link.STL,,平衡步兵底盘-1/轮腿法兰轴-2,left_chassis_wheel_joint_frame,left_chassis_wheel_joint_axis,left_chassis_wheel_site1_joint,fixed,0.19468,0.013,-0.17534,0,0,0,left_rear_knee_link,0,0,0,,,,,,,,,,,,
right_front_hip_link,0.032281,-0.032438,0.011151,0,0,0,0.2528,0.00013252,-2.9699E-18,-0.00014865,0.00064137,3.4055E-18,0.00052206,0,0,0,0,0,0,package://RMInfantry_Complation_Vision.SLDASM/meshes/right_front_hip_link.STL,1,1,1,1,0,0,0,0,0,0,package://RMInfantry_Complation_Vision.SLDASM/meshes/right_front_hip_link.STL,,平衡步兵底盘-1/腿上连杆一-2;平衡步兵底盘-1/厚垫块-1,right_front_hip_joint_frame,right_front_hip_joint_axis,right_front_hip_joint,continuous,0.065000010549327,-0.142300000000003,0.127000001012436,0,0,0,base_link,0,1,0,,,,,,,,,,,,
right_front_knee_link,-0.089345,-0.006,-0.086713,0,0,0,0.21937,0.00085145,1.8229E-18,-0.00087832,0.0018691,1.675E-18,0.0010229,0,0,0,0,0,0,package://RMInfantry_Complation_Vision.SLDASM/meshes/right_front_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://RMInfantry_Complation_Vision.SLDASM/meshes/right_front_knee_link.STL,,平衡步兵底盘-1/腿下连杆一-2,right_front_knee_joint_frame,right_front_knee_joint_axis,right_front_knee_joint,continuous,0.12968,-0.0194,0.047199,0,0,0,right_front_hip_link,0,-1,0,,,,,,,,,,,,
